Date, Test , ComputeTime
26/02/24, 500000 @ -O2, 0.034866
26/02/24, 500000 @ -O3, 0.036986
26/02/24, 1000000 @ -O0, 0.098547
26/02/24, 1000000 @ -O1, 0.101511
26/02/24, 1000000 @ -O2, 0.098859
26/02/24, 1000000 @ -O3, 0.096463
26/02/24, 5000000 @ -O0, 3.150872
26/02/24, 5000000 @ -O1, 3.384969
26/02/24, 5000000 @ -O2, 3.434679
26/02/24, 5000000 @ -O3, 3.530672
26/02/24, 10000000 @ -O0, 15.355971
26/02/24, 10000000 @ -O1, 14.239496
26/02/24, 10000000 @ -O2, 14.300378
26/02/24, 10000000 @ -O3, 14.092275
27/02/24, 500000 @ -O0, 0.037894
27/02/24, 500000 @ -O1, 0.037324
27/02/24, 500000 @ -O2, 0.036797
27/02/24, 500000 @ -O3, 0.037633
27/02/24, 1000000 @ -O0, 0.104125
27/02/24, 1000000 @ -O1, 0.104467
27/02/24, 1000000 @ -O2, 0.104938
27/02/24, 1000000 @ -O3, 0.103694
27/02/24, 5000000 @ -O0, 5.780723
27/02/24, 5000000 @ -O1, 5.972529
27/02/24, 5000000 @ -O2, 6.061482
27/02/24, 5000000 @ -O3, 5.813858
27/02/24, 10000000 @ -O0, 17.078452
27/02/24, 10000000 @ -O1, 17.777016
27/02/24, 10000000 @ -O2, 17.683761
27/02/24, 10000000 @ -O3, 17.461597
28/02/24, 500000 @ -O0, 0.035789
28/02/24, 500000 @ -O1, 0.036379
28/02/24, 500000 @ -O2, 0.036591
28/02/24, 500000 @ -O3, 0.036371
28/02/24, 1000000 @ -O0, 0.098069
28/02/24, 1000000 @ -O1, 0.100662
28/02/24, 1000000 @ -O2, 0.101505
28/02/24, 1000000 @ -O3, 0.101175
28/02/24, 5000000 @ -O0, 3.265695
28/02/24, 5000000 @ -O1, 3.274376
28/02/24, 5000000 @ -O2, 3.289906
28/02/24, 5000000 @ -O3, 3.616916
28/02/24, 10000000 @ -O0, 15.612008
28/02/24, 10000000 @ -O1, 14.177953
28/02/24, 10000000 @ -O2, 13.317008
28/02/24, 10000000 @ -O3, 13.578655
29/02/24, 500000 @ -O0, 0.037989
29/02/24, 500000 @ -O1, 0.037372
29/02/24, 500000 @ -O2, 0.037311
29/02/24, 500000 @ -O3, 0.038685
29/02/24, 1000000 @ -O0, 0.100118
29/02/24, 1000000 @ -O1, 0.104240
29/02/24, 1000000 @ -O2, 0.104605
29/02/24, 1000000 @ -O3, 0.103808
29/02/24, 5000000 @ -O0, 5.671696
29/02/24, 5000000 @ -O1, 5.811621
29/02/24, 5000000 @ -O2, 5.933827
29/02/24, 5000000 @ -O3, 5.795028
29/02/24, 10000000 @ -O0, 17.174286
29/02/24, 10000000 @ -O1, 17.588313
29/02/24, 10000000 @ -O2, 17.580042
29/02/24, 10000000 @ -O3, 17.519941
01/03/24, 500000 @ -O0, 0.035357
01/03/24, 500000 @ -O1, 0.036613
01/03/24, 500000 @ -O2, 0.036788
01/03/24, 500000 @ -O3, 0.037491
01/03/24, 1000000 @ -O0, 0.101246
01/03/24, 1000000 @ -O1, 0.102402
01/03/24, 1000000 @ -O2, 0.101415
01/03/24, 1000000 @ -O3, 0.101833
01/03/24, 5000000 @ -O0, 4.228253
01/03/24, 5000000 @ -O1, 4.086565
01/03/24, 5000000 @ -O2, 3.692287
01/03/24, 5000000 @ -O3, 4.008240
01/03/24, 10000000 @ -O0, 15.812304
01/03/24, 10000000 @ -O1, 16.848013
01/03/24, 10000000 @ -O2, 17.631896
01/03/24, 10000000 @ -O3, 16.420786
02/03/24, 500000 @ -O0, 0.036497
02/03/24, 500000 @ -O1, 0.037156
02/03/24, 500000 @ -O2, 0.037229
02/03/24, 500000 @ -O3, 0.037476
02/03/24, 1000000 @ -O0, 0.099893
02/03/24, 1000000 @ -O1, 0.103284
02/03/24, 1000000 @ -O2, 0.103911
02/03/24, 1000000 @ -O3, 0.103706
02/03/24, 5000000 @ -O0, 4.442948
02/03/24, 5000000 @ -O1, 5.035736
02/03/24, 5000000 @ -O2, 5.779935
02/03/24, 5000000 @ -O3, 4.987447
02/03/24, 10000000 @ -O0, 17.809069
02/03/24, 10000000 @ -O1, 17.493524
02/03/24, 10000000 @ -O2, 18.302254
02/03/24, 10000000 @ -O3, 18.212156
03/03/24, 500000 @ -O0, 0.036380
03/03/24, 500000 @ -O1, 0.037031
03/03/24, 500000 @ -O2, 0.036676
03/03/24, 500000 @ -O3, 0.036474
03/03/24, 1000000 @ -O0, 0.098268
03/03/24, 1000000 @ -O1, 0.103114
03/03/24, 1000000 @ -O2, 0.103112
03/03/24, 1000000 @ -O3, 0.101733
03/03/24, 5000000 @ -O0, 4.638244
03/03/24, 5000000 @ -O1, 5.059577
03/03/24, 5000000 @ -O2, 4.861292
03/03/24, 5000000 @ -O3, 5.086750
03/03/24, 10000000 @ -O0, 17.792828
03/03/24, 10000000 @ -O1, 18.146504
03/03/24, 10000000 @ -O2, 18.107187
03/03/24, 10000000 @ -O3, 18.069399
04/03/24, 500000 @ -O0, 0.036896
04/03/24, 500000 @ -O1, 0.037358
04/03/24, 500000 @ -O2, 0.037198
04/03/24, 500000 @ -O3, 0.037226
04/03/24, 1000000 @ -O0, 0.102675
04/03/24, 1000000 @ -O1, 0.102978
04/03/24, 1000000 @ -O2, 0.104159
04/03/24, 1000000 @ -O3, 0.104133
